Date,Open,High,Low,Close,Adj Close,Volume
01-04-2012,21.493929,23,19.821428,20.856428,17.858826,15598990400
01-05-2012,20.889286,21.312857,18.649286,20.633215,17.667696,11106345600
01-06-2012,20.327143,21.071428,19.589287,20.857143,17.859434,7855825600
01-07-2012,20.883215,22.138214,20.357143,21.812857,18.67779,8909650400
01-08-2012,21.996786,24.316786,21.4375,23.758572,20.343857,8276206400
01-09-2012,23.777143,25.18107,23.428572,23.825001,20.488329,9199005200
01-10-2012,23.969999,24.169643,20.989286,21.261429,18.283785,12142830000
01-11-2012,21.365,21.535713,18.0625,20.902857,17.975431,12929851200
01-12-2012,21.201786,21.235357,17.901072,19.006071,16.418938,12132752800
01-01-2013,19.779285,19.821428,15.535714,16.2675,14.053143,13123423600
01-02-2013,16.396786,17.319286,15.630714,15.764286,13.618429,9344034000
01-03-2013,15.642857,16.78393,14.964286,15.809286,13.7369,9176876800
01-04-2013,15.782143,15.901786,13.753571,15.813571,13.740623,10963489600
01-05-2013,15.873571,16.633928,14.960714,16.061787,13.956299,9447530400
01-06-2013,16.0975,16.229643,13.888214,14.161786,12.386811,7018536000
01-07-2013,14.381786,16.33357,14.329286,16.161785,14.136142,6538114800
01-08-2013,16.276787,18.347857,16.187857,17.400715,15.219791,8058338400
01-09-2013,17.610714,18.139999,15.972143,17.026787,14.991062,8630941200
01-10-2013,17.0875,19.258928,17.081429,18.667856,16.435925,7837732000
01-11-2013,18.715,19.940357,18.299286,19.859644,17.48522,5225155600
01-12-2013,19.928572,20.540714,19.242857,20.036428,17.743862,7057397200
01-01-2014,19.845715,20.007143,17.626785,17.878571,15.832908,8765954400
01-02-2014,17.950357,19.685356,17.832144,18.794287,16.643847,5880366800
01-03-2014,18.693571,19.607143,18.671785,19.169287,17.077553,5001698800
01-04-2014,19.205713,21.408215,18.261786,21.074642,18.775002,6435060800
01-05-2014,21.142857,23.006071,20.72607,22.607143,20.14028,5735668400
01-06-2014,22.64143,23.762501,22.232143,23.2325,20.812992,4827739200
01-07-2014,23.379999,24.860001,23.1425,23.9,21.41098,4140344000
01-08-2014,23.725,25.725,23.32,25.625,22.956331,3748308000
01-09-2014,25.764999,25.934999,24.035,25.1875,22.676634,6105680000
01-10-2014,25.147499,27.01,23.795,27,24.308451,5441120800
01-11-2014,27.055,29.9375,26.93,29.7325,26.768555,3281632800
01-12-2014,29.702499,29.8125,26.565001,27.594999,24.951866,4294378400
01-01-2015,27.8475,30,26.157499,29.290001,26.484514,5221053600
01-02-2015,29.512501,33.400002,29.02,32.115002,29.038929,4546140800
01-03-2015,32.3125,32.57,30.407499,31.1075,28.238943,4554568400
01-04-2015,31.205,33.634998,30.775,31.2875,28.402336,3984542000
01-05-2015,31.525,33.2425,30.84,32.57,29.566574,3816608400
01-06-2015,32.57,32.8475,31.120001,31.3575,28.584785,3514426800
01-07-2015,31.725,33.2425,29.805,30.325001,27.643587,4233122400
01-08-2015,30.375,30.6425,23,28.190001,25.697369,6427276400
01-09-2015,27.5375,29.2225,26.84,27.575001,25.250526,4826189200
01-10-2015,27.2675,30.305,26.827499,29.875,27.356642,4450048400
01-11-2015,30.200001,30.955,27.75,29.575001,27.081936,3002562400
01-12-2015,29.6875,29.965,26.205,26.315001,24.199888,3687660800
01-01-2016,25.6525,26.4625,23.0975,24.334999,22.379032,5087392000
