Date,instrument_symbol,Open,High,Low,Close,Adj Close,Volume
4/1/2012,VT,48.22999954,48.97000122,46.02000046,47.70000076,37.90882492,4256100
5/1/2012,VT,47.59999847,48.20000076,43.06999969,43.43999863,34.52325821,4431200
6/1/2012,VT,42.84999847,45.68000031,42.18999863,45.66999817,36.29551315,2982800
7/1/2012,VT,45.74000168,46.43000031,43.95000076,46,36.55776978,2319800
8/1/2012,VT,46.22999954,48.08000183,45.09000015,47.13999939,37.46377182,2458400
9/1/2012,VT,47.16999817,50.34000015,46.84999847,48.02999878,38.17107773,4248400
10/1/2012,VT,48.27000046,49.34999847,47.40999985,47.74000168,38.3946991,3203400
11/1/2012,VT,48.00999832,48.59999847,45.83000183,48.47000122,38.98179245,6043600
12/1/2012,VT,48.79000092,50.13000107,48.27999878,49.41999817,39.74582291,6369000
1/1/2013,VT,50.22000122,51.75,49.84000015,51.40000153,41.80363846,9996500
2/1/2013,VT,51.74000168,52.13000107,50.36000061,51.24000168,41.67351151,5334600
3/1/2013,VT,51,52.70000076,50.84999847,52.27999878,42.51935577,6645800
4/1/2013,VT,52.22999954,53.68000031,51.06999969,53.68000031,43.79647827,4933600
5/1/2013,VT,53.50999832,55.93000031,53.09999847,53.38000107,43.55171204,6230900
6/1/2013,VT,53.45000076,53.90999985,49.75,51.50999832,42.02601242,5370400
7/1/2013,VT,51.91999817,54.88000107,51.27000046,54.16999817,44.57720566,5099300
8/1/2013,VT,54.72999954,55.11999893,52.75,52.84000015,43.48273087,4948100
9/1/2013,VT,53.52000046,57.20000076,53.18999863,55.54999924,45.71283722,5131700
10/1/2013,VT,55.65999985,58.34000015,54.54999924,57.61000061,47.6149826,8107700
11/1/2013,VT,57.59999847,58.74000168,56.86999893,58.5,48.35054779,4791100
12/1/2013,VT,58.45000076,59.43999863,56.90000153,59.40000153,49.0944252,7187700
1/1/2014,VT,59,59.38999939,56.40000153,56.75999832,47.21659088,8755700
2/1/2014,VT,56.91999817,60.02999878,55.52999878,59.72000122,49.67891312,6144300
3/1/2014,VT,58.93000031,60.43000031,58.31999969,59.66999817,49.63731766,7562200
4/1/2014,VT,59.88999939,60.43000031,58.04000092,60.11000061,50.28874588,7717300
5/1/2014,VT,60.22000122,61.47000122,59.75,61.34000015,51.31778336,3961900
6/1/2014,VT,61.49000168,62.77999878,61.25999832,62.22999954,52.06236649,6207600
7/1/2014,VT,62.47999954,63.11999893,61.11999893,61.13999939,51.53142166,6181700
8/1/2014,VT,61.13000107,62.86999893,60.09000015,62.75999832,52.89681625,5176900
9/1/2014,VT,62.88000107,63.34999847,60.06000137,60.38000107,50.89085007,5999200
